fare_amount_bin,avg_tip
44.09,7.433333
44.11,0.0
44.12,0.0
44.15,0.0
44.61,0.0
44.82,0.0
44.96,0.0
45.15,1.5083333
45.22,0.0
45.31,0.0
45.32,0.0
45.36,3.0766666
45.47,0.0
45.63,0.0
45.68,0.0
45.76,5.6083336
45.79,0.0
45.84,0.0
45.99,3.1425
46.11,0.0
46.13,0.0
46.14,0.0
46.15,0.0
46.24,0.0
46.31,0.0
46.32,0.0
46.37,0.0
46.39,0.0
46.41,0.0
46.66,5.34
46.7,1.6
46.79,0.0
46.94,0.0
46.97,0.0
46.98,3.7192307
47.18,0.0
47.3,4.669231
47.85,1.9200001
48.08,0.0
48.24,0.0
48.36,0.0
48.38,0.0
48.42,0.0
48.44,0.0
48.52,0.0
48.53,0.0
48.63,0.0
48.68,0.0
48.74,4.9
48.8,4.950476
48.86,0.0
48.87,0.0
48.95,0.0
48.97,0.0
49.07,0.0
49.13,0.0
49.17,0.0
49.2,7.82027
49.24,0.0
49.49,0.0
49.54,1.99
49.59,0.0
49.6,0.0
49.66,0.0
49.76,8.279285
49.77,0.0
49.87,0.0
49.91,0.0
49.92,0.0
49.97,0.0
49.99,4.689
50.2,5.1
50.22,0.0
50.35,0.0
50.49,0.0
50.55,9.083333
50.67,0.0
50.85,0.0
50.92,0.0
50.97,0.0
50.99,0.0
51.04,0.0
51.14,0.0
51.41,0.0
51.65,0.0
51.66,0.0
51.7,8.810526
51.73,0.0
51.91,0.0
51.98,0.0
52.04,0.0
52.06,7.14
52.1,5.395
52.27,0.0
52.28,0.0
52.37,0.0
52.45,0.0
52.48,0.0
52.57,0.0
52.64,0.0
52.86,0.0
52.87,0.0
53.08,0.0
53.09,7.1200004
53.17,0.0
53.31,0.0
53.36,0.0
53.41,0.0
53.49,0.0
53.53,0.0
53.55,0.0
53.66,0.0
53.68,0.0
53.86,5.4
54.0,8.311333
54.09,0.0
54.13,0.0
54.14,0.0
54.18,0.0
54.2,2.8377552
54.24,0.0
54.25,2.0
54.44,0.0
54.47,0.0
54.55,0.0
54.84,0.0
54.93,0.0
54.95,0.0
55.02,0.0
55.03,0.0
55.1,0.75
55.23,0.0
