pickup_hour,avg_tip
0,5.171211
1,4.702932
2,4.365265
3,4.2796164
4,4.9921165
5,6.0293207
6,5.981679
7,5.873818
8,5.6066785
9,5.6398954
10,5.578746
11,5.59947
12,5.634588
13,5.7103605
14,5.772316
15,5.8935204
16,6.058195
17,5.752894
18,5.5665455
19,5.521184
20,5.5628448
21,5.6368074
22,5.5428114
23,5.429172
